Designator,Footprint,Quantity,Value,LCSC Part #
120R1,0603,1,FerriteBead,C127301
"C1, C19, C28, C3, C31, C6",0402,6,4u7,C23733
"C10, C17, C18, C27, C9",0402,5,1u,C142376
"C11, C12, C13, C14, C15, C16, C20, C24, C25, C26, C32, C33, C7",0402,13,100n,C338032
C2,0402,1,15u,C703069
"C21, C22",0402,2,2u2,C76594
"C23, C4",0805,2,33p,C1663
"C29, C30",1206,2,100u,C87164
C5,0402,1,10U,C87148
C8,0402,1,10n,C361206
CR1,New_ESP32_M24C02-RMN6TP,1,M24C02-RDW6TP,C83836
"D10, D2",D_SOD-323,2,1N5819WS,C191023
D11,0805,1,LED,C130114
"D18, D3, D4, D5",LED RGB,4,ASMB-MTB1-0A3A2,C2927824
"J1, J15",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,Conn_01x02_Female,C295747
J11,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,Conn_01x06_Female,C265405
"J12, J13, J14, J3, J5, J6, J7",1x4pin 1mm connector,7,Conn_01x04_Female,C3029343
J9,USB_C_Receptacle_HRO_TYPE-C-31-M-13,1,USB_C_Receptacle,C223906
"R1, R19, R32",0402,3,4k7,C82453
"R11, R12, R14, R15, R17, R18, R24, R25, R34, R35",0402,10,150r,C25143
"R13, R16, R23, R33, R6",0402,5,180r,C966703
"R2, R3",0402,2,5k1,C325521
"R20, R21, R7, R8",0402,4,1k5,C144053
"R22, R26, R27, R28, R29, R30, R31",0402,7,330r,C105876
R36,0402,1,1k,C279981
R37,0402,1,2k,C258126
R38,0402,1,10k,C409612
R39,0402,1,6.8k,C131617
"R4, R5",0402,2,15k,C409670
"R40, R41",0402,2,1r0,C881335
R9,0402,1,2K2,C102890
"SW1, SW2, SW3",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,3,SW_Push,C266189
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RET6,C69336
U11,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1-N8R2,C3013944
U12,SOT-23-5,1,MCP73832-2-OT,C424093
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C351784
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U4,SOT-666,1,USBLC6-2P6,C2827693
U5,LQFP-48_7x7mm_P0.5mm,1,STM32F091CCT6,C129795
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
