Comment,Designator,Footprint,LCSC
LED,D4,D_0805_2012Metric,C130114
USB_C_Receptacle,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
64.9k,R5,R_0402_1005Metric,C170350
10k,R12,R_0805_2012Metric,C17414
680,R13,R_0805_2012Metric,C17798
1N5819WS,"D5,D6",D_SOD-323,C191023
BQ21040DBVR,U3,SOT95P280X145-6N,C202311
100k,"R1,R2",R_0402_1005Metric,C25741
5.1k,"R10,R11",R_0402_1005Metric,C25905
SW_Push,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
Conn_01x02_Socket,J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
1uH,L1,L_0805_2012Metric,C370013
360k,R3,R_0402_1005Metric,C423105
18,R9,R_1218_3246Metric,C425038
1k5,R14,R_0805_2012Metric,C4310
TPS63060,U1,Texas_S-PWSON-N10_ThermalVias,C48567
0.1u,"C1,C4,C5",C_0805_2012Metric,C495959
2.2p,C12,C_0805_2012Metric,C519933
10u,"C10,C11,C15,C16,C2,C3,C6,C7,C8,C9",C_0805_2012Metric,C83061
TestPoint,TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,
TestPoint,TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,
TestPoint,TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,
TestPoint,TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,
TestPoint,TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,
