Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,112.02,-65.33,180.0,top
C2,10u,C_0805_2012Metric,103.4725,-59.77,90.0,top
C3,10u,C_0805_2012Metric,105.6325,-59.77,90.0,top
C4,0.1u,C_0805_2012Metric,107.7725,-59.77,90.0,top
C5,0.1u,C_0805_2012Metric,116.5225,-59.72,90.0,top
C6,10u,C_0805_2012Metric,118.6725,-59.74,90.0,top
C7,10u,C_0805_2012Metric,120.7925,-59.74,90.0,top
C8,10u,C_0805_2012Metric,122.8725,-59.74,90.0,top
C9,10u,C_0805_2012Metric,118.6525,-63.87,-90.0,top
C10,10u,C_0805_2012Metric,120.8025,-63.85,-90.0,top
C11,10u,C_0805_2012Metric,122.9625,-63.83,-90.0,top
C12,2.2p,C_0805_2012Metric,114.8,-64.7,-90.0,top
C15,10u,C_0805_2012Metric,113.14,-77.04,-90.0,top
C16,10u,C_0805_2012Metric,122.8,-75.68,-90.0,top
D4,LED,D_0805_2012Metric,119.47,-70.77,0.0,top
D5,1N5819WS,D_SOD-323,130.15,-76.67,-90.0,top
D6,1N5819WS,D_SOD-323,128.05,-76.6525,-90.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.33,-88.275,0.0,top
J3,Conn_01x02_Socket,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,125.99,-87.25,0.0,top
L1,1uH,L_0805_2012Metric,112.1525,-55.85,0.0,top
R1,100k,R_0402_1005Metric,107.7425,-64.15,-90.0,top
R2,100k,R_0402_1005Metric,110.04,-66.9,0.0,top
R3,360k,R_0402_1005Metric,116.58,-63.14,90.0,top
R5,64.9k,R_0402_1005Metric,116.38,-65.39,90.0,top
R9,18,R_1218_3246Metric,130.1,-66.1,90.0,top
R10,5.1k,R_0402_1005Metric,107.06,-81.98,90.0,top
R11,5.1k,R_0402_1005Metric,109.55,-82.0,90.0,top
R12,10k,R_0805_2012Metric,120.73,-77.2,-90.0,top
R13,680,R_0805_2012Metric,113.2,-73.37,90.0,top
R14,1k5,R_0805_2012Metric,120.74,-73.65,90.0,top
SW1,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,129.4,-58.1,-90.0,top
U1,TPS63060,Texas_S-PWSON-N10_ThermalVias,112.1225,-60.79,0.0,top
U3,BQ21040DBVR,SOT95P280X145-6N,117.2525,-74.8,180.0,top
